text,label
foto nya di editin sama minta di tag tapi takut,afraid
kok serem ya,afraid
takut liat fotonya pocong,afraid
serem udah tua soalnya,afraid
hiiiii,afraid
deg2an,afraid
kan base gituan diciptakan untuk orang julid yang takut kedoknya kebuka bang,afraid
serem kan masa mati ga jdi kan kaya d php,afraid
diem tangan w berair deg2an,afraid
dada deg2an eyy gegara gitu doang,afraid
mereka yg main gua yg deg2an anjir,afraid
allahuakbar itu yg pake helm jd deg2an rasanya,afraid
nder tolong update keadaanmu sekarang aku ikut deg2an njirrr,afraid
kalo deg2an mau ktemu org tuh artinya apa ya wkkwk,afraid
sore padaan berangkat aku makin deg2an,afraid
mending ketinggalan mbak drpd liat yg dikirim tadi bikin deg2an,afraid
ih kak bela nih dah deg2an aku,afraid
jalannya nanti deg2an nya dari kemaren dasar lemah aku tu,afraid
deg2an cuk wkwk,afraid
jujur ini metpen deg2an,afraid
lagi panjat 4 meter aja turun turun udah gemeteran tiba tiba lemes kringet dingin kek mo pingsan anjirrr,afraid
psti dengkul fans malingsia gemeteran,afraid
masa gue yg gemeteran,afraid
urusan hari ini mulai dari bangun sampe sekarang kenapa bikin degdegan parah ampe gemeteran begini apakah ini yang dinamakan,afraid
gemeteran pasti doi keluar keringet segede gede jagung,afraid
selalu kaget kalo diklakson bus truck gede sampe gemeteran,afraid
mipet aj masih gemeteran dpn dosen,afraid
jalan ceritanya dia hanya mau pamer pas ketemu tangannya gemeteran sad,afraid
pagi pagi udah stress biasanya kalo stress begini ngomong sama dia dianya lagi ujian skripsi lebih stress yauda sampe gemeteran dah saking stressnya ak,afraid
sebenernya gua gabisa bgt liat video beginian ih lgsg gemeteran trs degdegan tp endingnya mantep kurang santetnya aja dek,afraid
kakiku gemeteran liatnya wkwk,afraid
makanya saya selalu buat pertanyaan tapi ga pernah nanya dan malah nyuruh temen yang nanya karna saya bisa gugup luar biasa parahnya yaampun anjir ni tangan gamau selesai gemeteran,afraid
yang jalan kaki yang gemeteran tangan tapi masih bisa bikin tweet yang dibikin pake jempol,afraid
anjirr emaknya ampek lemes gitu nikmat kaliya tetenya di enyot gitu,afraid
aduh ampun suhu,afraid
woyy jan nakut nakutin lu,afraid
takut ada pocong,afraid
takut ada pocong,afraid
aku takut kamu pergi kamu hilang kamu sakit,afraid
pgn beli iphone 11 tp jujur gw takut banget sm kamera belakangnya kayak monster lg melotot,afraid
beneran dah,afraid
jangan makan sembarangan utta aku gamau km sakit,afraid
aku takut kamu sakit,afraid
kamu buat kk cemas,afraid
cemas,afraid
yang lebih aku takutkan aku dengan orang yg baru yang mampu membuatku melupakanmu tetapi patahan yg baru sama seperti yg lalu lalu karena mau siapapun orangnya aku mencintai dengan perasaaan yg sama,afraid
